# ---- this week ----
2026-08-31, Chicken katsu, rice, green beans, pineapple
2026-09-01, Beef stew, brown rice, tossed salad, orange
2026-09-02, Honey Ginger Chicken/Tofu, Hapa Rice, Protein Pack, Edamame, Steamed Carrots, Apple Slices
2026-09-03, Spaghetti, garlic bread, carrots, fruit cup
#2026-09-04, Cheese pizza, salad, watermelon

# ---- if your menu is the same every week, use these instead ----
# Monday,    Chicken katsu, rice, green beans, fruit
# Tuesday,   Beef stew, rice, salad, fruit
# Wednesday, Shoyu chicken, rice, corn, fruit
# Thursday,  Spaghetti, garlic bread, carrots, fruit
# Friday,    Cheese pizza, salad, fruit

default, Check the cafeteria menu
